id,experience_years,experience_band,technical_score,personality_score,communication_score,attentiveness_score,eye_contact_score,filler_ratio,avg_answer_seconds,grammar_score,confidence_score,tab_switches,window_blur_events,screenshot_attempted,device_detected,gaze_off_over_20s,camera_available,mic_available,english_only_violation,final_score,decision
24,13.1,industry_veteran,74,56,71,58,58,0.122,71,80,55,0,0,0,0,0,1,1,0,45,fail
25,12.6,industry_veteran,68,49,60,58,53,0.199,69,57,58,1,0,0,0,0,1,1,0,59,fail
26,5.1,mid_level_expert,100,100,100,100,100,0.049,38,76,82,0,0,0,0,0,1,0,0,88,fail
27,0.7,fresher,77,53,74,63,63,0.104,35,69,91,0,0,0,0,0,1,1,0,62,fail
28,5.5,mid_level_expert,83,89,83,100,100,0.115,63,100,87,0,0,0,1,0,1,1,0,81,fail
29,1.9,junior_professional,95,80,98,100,98,0.035,109,100,100,0,0,0,0,0,1,1,0,87,pass
30,0.2,fresher,48,38,55,45,16,0.052,26,51,40,0,0,0,0,0,1,1,0,38,fail
31,3.6,mid_level_expert,64,91,81,74,92,0.028,35,87,78,0,0,0,0,0,1,1,0,68,fail
32,0.4,fresher,80,100,69,95,89,0.117,120,100,96,0,0,0,0,0,1,1,1,76,fail
33,0.1,fresher,81,94,100,100,92,0.083,113,88,83,0,0,0,0,0,1,1,0,83,pass
34,12.0,industry_veteran,68,49,56,41,48,0.139,42,49,45,0,0,0,0,0,1,1,0,48,fail
35,6.4,senior_professional,51,59,12,60,22,0.138,71,48,77,0,0,0,0,0,1,1,0,42,fail
36,0.3,fresher,67,80,76,66,70,0.069,108,58,69,0,0,0,0,0,1,1,0,66,fail
37,3.5,mid_level_expert,49,56,59,63,62,0.144,89,57,48,0,0,0,1,0,1,1,0,45,fail
38,8.8,senior_professional,95,96,62,91,91,0.135,79,65,89,0,0,0,0,0,1,1,0,71,pass
39,7.4,senior_professional,47,53,59,42,66,0.168,129,26,69,1,0,0,0,0,1,1,0,37,fail
40,2.0,junior_professional,100,74,90,94,91,0.096,48,78,81,0,0,0,0,0,1,1,0,76,pass
41,12.0,industry_veteran,44,33,55,62,37,0.093,109,52,38,0,0,0,0,0,1,1,0,36,fail
42,14.6,industry_veteran,60,35,67,63,72,0.122,128,66,60,0,0,0,0,0,1,1,0,61,fail
43,11.7,industry_veteran,100,89,100,88,86,0.036,33,89,100,0,0,0,0,1,1,1,0,100,fail
44,5.2,mid_level_expert,61,56,44,61,10,0.046,42,53,50,0,0,0,0,0,1,1,0,51,fail
45,3.3,mid_level_expert,68,36,43,88,57,0.16,41,72,76,0,0,0,0,0,1,1,0,58,fail
46,0.6,fresher,6,32,0,17,28,0.139,118,27,36,0,0,0,0,0,1,1,0,12,fail
47,13.7,industry_veteran,66,68,50,58,63,0.194,112,64,49,0,0,0,0,0,1,1,0,56,fail
48,4.1,mid_level_expert,42,52,82,59,59,0.216,96,47,50,0,0,0,0,0,1,1,0,43,fail
49,10.5,industry_veteran,64,65,100,69,54,0.069,96,57,76,0,0,0,0,0,1,0,0,67,fail
50,1.1,junior_professional,44,30,40,57,72,0.189,77,65,50,0,0,0,0,0,1,1,0,34,fail
51,6.2,senior_professional,45,66,45,78,76,0.147,36,55,68,0,0,0,0,0,0,1,0,55,fail
52,4.4,mid_level_expert,59,85,58,89,91,0.011,41,69,94,0,0,0,0,0,1,1,0,78,pass
53,1.7,junior_professional,100,100,95,100,90,0.156,70,100,90,0,0,0,0,0,1,0,0,82,fail
54,6.3,senior_professional,100,100,86,87,68,0.163,72,68,85,0,0,0,0,0,1,1,0,76,pass
55,1.4,junior_professional,100,74,85,88,81,0.1,121,57,73,0,0,0,0,0,1,1,0,75,pass
56,2.0,junior_professional,83,84,70,65,94,0.048,113,58,65,0,0,0,0,0,1,1,0,77,pass
57,0.1,fresher,90,69,75,80,95,0.109,128,50,82,0,0,0,0,0,1,1,0,68,fail
58,9.6,senior_professional,64,69,68,89,61,0.168,129,60,57,0,0,1,0,0,1,1,0,56,fail
59,2.6,junior_professional,90,90,88,86,96,0.096,49,87,99,0,0,0,0,0,1,1,0,80,pass
60,14.3,industry_veteran,100,77,87,73,52,0.078,46,71,48,0,0,0,0,0,1,1,0,84,pass
61,4.7,mid_level_expert,57,43,91,67,70,0.128,118,79,77,0,0,0,0,0,1,1,0,63,fail
62,0.9,fresher,41,47,82,59,57,0.123,59,50,60,0,0,0,0,0,1,1,0,39,fail
63,5.4,mid_level_expert,57,76,61,68,43,0.065,78,95,85,1,0,0,0,0,1,1,0,56,fail
64,0.8,fresher,54,53,36,26,47,0.149,41,35,56,0,0,0,0,0,1,1,0,32,fail
65,7.5,senior_professional,65,95,83,70,100,0.084,56,58,61,0,0,0,0,0,1,1,0,58,fail
66,12.6,industry_veteran,87,65,51,71,64,0.068,103,58,45,0,0,0,0,0,1,1,0,78,pass
67,3.7,mid_level_expert,66,100,73,97,91,0.01,108,92,95,0,0,0,0,0,1,1,0,75,pass
68,7.2,senior_professional,51,73,52,50,67,0.027,78,44,74,0,0,0,0,0,1,1,0,49,fail
69,0.1,fresher,52,100,64,83,61,0.105,45,74,100,0,0,0,0,0,1,1,0,61,fail
70,5.1,mid_level_expert,84,77,83,96,80,0.074,57,87,87,1,0,0,1,0,1,1,0,72,fail
71,2.2,junior_professional,48,64,66,44,52,0.116,97,46,66,0,0,0,0,0,1,1,0,64,fail
72,13.7,industry_veteran,46,58,29,46,51,0.193,44,30,43,0,0,0,0,0,1,1,0,33,fail
73,1.4,junior_professional,72,100,68,89,75,0.08,86,73,94,0,0,0,0,0,1,1,0,77,pass
74,10.3,industry_veteran,21,59,43,33,77,0.202,120,60,56,0,1,0,0,0,1,1,0,35,fail
75,4.8,mid_level_expert,41,50,43,49,36,0.157,89,41,65,0,0,0,0,0,1,0,0,34,fail
76,11.8,industry_veteran,69,78,60,88,96,0.135,55,100,68,0,0,0,0,0,1,1,0,62,fail
77,3.4,mid_level_expert,52,53,69,59,60,0.099,59,62,57,0,0,0,0,0,1,1,0,34,fail
78,4.8,mid_level_expert,66,65,53,72,83,0.252,58,65,83,0,0,0,0,0,1,1,0,72,pass
79,1.1,junior_professional,35,37,46,56,73,0.109,58,59,35,0,0,0,0,0,1,1,0,37,fail
80,0.8,fresher,77,98,81,81,86,0.095,94,100,100,0,0,0,0,0,1,1,0,87,pass
81,0.3,fresher,85,75,73,77,70,0.11,91,46,88,0,0,0,0,0,1,1,0,60,fail
82,0.9,fresher,79,52,58,75,62,0.225,100,76,55,0,0,0,0,0,1,1,0,49,fail
83,12.6,industry_veteran,85,37,51,73,61,0.08,26,66,67,0,0,0,0,0,1,1,0,50,fail
84,3.1,mid_level_expert,48,36,63,45,54,0.041,62,50,36,0,1,0,0,0,1,1,0,51,fail
85,1.0,junior_professional,84,93,96,100,100,0.141,113,98,96,0,0,0,1,0,1,1,0,87,fail
86,13.2,industry_veteran,66,61,65,79,60,0.01,114,77,74,0,0,0,0,0,1,1,0,54,fail
87,11.2,industry_veteran,36,72,92,57,60,0.037,72,75,62,0,0,0,0,0,1,1,0,60,fail
88,8.0,senior_professional,40,28,18,77,62,0.116,26,42,48,0,0,0,0,1,1,1,0,37,fail
89,2.5,junior_professional,68,73,86,100,89,0.059,50,94,75,0,0,0,0,0,1,1,0,60,fail
90,0.8,fresher,72,76,67,65,88,0.042,100,79,90,0,0,0,0,0,1,1,0,65,fail
91,9.8,senior_professional,70,53,46,51,53,0.18,105,66,51,0,0,0,0,0,1,1,0,52,fail
92,4.4,mid_level_expert,65,66,71,64,70,0.052,90,95,77,0,0,0,0,0,1,1,0,79,pass
93,11.5,industry_veteran,38,39,68,62,50,0.081,99,61,55,0,0,0,1,0,1,1,0,27,fail
94,2.5,junior_professional,42,64,44,58,52,0.158,31,29,44,0,1,0,0,0,1,1,0,34,fail
95,9.7,senior_professional,87,97,93,100,97,0.091,84,80,85,0,0,0,0,0,1,1,0,93,pass
96,8.2,senior_professional,62,46,75,63,52,0.111,105,69,83,1,0,0,0,0,1,1,0,59,fail
97,7.4,senior_professional,74,75,54,54,52,0.092,75,74,74,0,0,0,0,0,1,1,0,77,pass
98,5.7,mid_level_expert,78,100,100,98,84,0.144,96,85,90,0,0,0,0,0,1,1,0,71,pass
99,4.0,mid_level_expert,32,63,66,85,40,0.146,58,57,74,0,0,0,0,0,1,1,0,45,fail
100,12.4,industry_veteran,88,70,89,65,58,0.094,26,74,42,0,0,0,0,0,1,1,0,56,fail
101,0.2,fresher,70,69,66,75,69,0.16,70,63,92,0,0,0,0,0,1,1,0,67,fail
102,1.4,junior_professional,75,69,89,65,60,0.103,96,52,57,0,0,0,0,0,1,1,0,67,fail
103,5.7,mid_level_expert,61,75,82,79,62,0.01,52,82,73,0,0,0,0,0,1,1,1,61,fail
104,6.4,senior_professional,74,74,62,67,45,0.161,56,52,72,0,1,0,0,0,1,1,0,58,fail
105,12.6,industry_veteran,95,100,100,100,98,0.035,61,93,100,0,0,0,0,0,1,1,0,86,pass
106,3.4,mid_level_expert,72,100,82,100,90,0.01,89,100,98,0,0,0,0,0,1,1,0,92,pass
107,3.3,mid_level_expert,56,59,52,67,64,0.145,104,54,54,0,0,0,0,1,1,1,0,32,fail
108,0.0,fresher,67,100,92,84,65,0.222,125,86,100,0,0,0,0,0,1,1,0,84,pass
109,6.2,senior_professional,44,50,36,50,54,0.074,87,52,86,0,0,0,0,0,1,1,0,45,fail
110,0.1,fresher,26,59,36,71,51,0.091,106,38,25,0,0,0,0,0,1,1,0,37,fail
111,2.6,junior_professional,61,48,68,44,17,0.205,79,58,73,0,0,0,0,0,0,1,0,36,fail
112,6.3,senior_professional,64,81,62,75,62,0.138,28,58,59,0,0,0,0,0,1,1,0,59,fail
113,7.8,senior_professional,100,99,100,100,100,0.096,33,91,100,0,0,0,0,0,1,1,0,77,pass
114,0.3,fresher,86,69,96,94,79,0.058,29,71,84,0,1,0,0,0,1,1,0,82,fail
115,0.1,fresher,73,100,59,65,63,0.126,105,64,80,0,0,0,0,0,1,1,0,81,pass
116,0.1,fresher,79,64,60,86,71,0.087,84,71,62,0,0,0,0,0,1,1,0,60,fail
117,8.2,senior_professional,100,100,91,95,95,0.01,116,94,80,1,0,0,0,0,1,1,0,86,fail
118,10.1,industry_veteran,49,41,62,51,75,0.126,85,44,53,0,0,0,0,0,1,1,0,47,fail
119,11.1,industry_veteran,91,84,48,85,63,0.034,124,72,86,0,0,0,0,0,1,1,0,82,pass
120,9.2,senior_professional,36,69,42,65,57,0.146,107,34,23,0,0,0,0,0,1,1,0,34,fail
121,11.0,industry_veteran,83,57,56,47,66,0.169,103,46,67,0,0,0,0,0,1,0,0,50,fail
122,5.3,mid_level_expert,59,42,25,67,34,0.159,47,52,52,0,1,0,0,0,1,1,0,42,fail
123,2.2,junior_professional,73,100,100,95,69,0.01,127,75,96,1,0,0,0,0,1,1,0,85,fail
124,4.7,mid_level_expert,12,19,11,37,45,0.148,69,35,37,0,0,0,0,0,1,1,0,20,fail
125,11.7,industry_veteran,66,24,72,72,54,0.156,89,35,63,0,1,0,0,0,1,1,0,43,fail
126,4.1,mid_level_expert,83,95,100,86,85,0.083,67,71,74,0,0,0,0,0,1,0,0,88,fail
127,0.7,fresher,36,50,4,12,39,0.01,120,42,25,0,0,1,0,0,1,1,0,25,fail
128,3.5,mid_level_expert,55,39,53,76,69,0.115,91,60,50,0,0,0,0,0,1,1,0,52,fail
129,5.3,mid_level_expert,59,59,37,53,68,0.161,73,45,62,0,0,0,0,0,1,1,0,49,fail
130,2.9,junior_professional,88,88,71,66,69,0.038,67,89,63,0,0,0,0,0,1,1,0,68,fail
131,0.7,fresher,67,78,100,87,70,0.01,89,86,100,0,0,0,0,0,1,1,0,84,pass
132,6.9,senior_professional,76,91,90,92,95,0.06,55,100,96,0,0,0,0,0,1,1,0,85,pass
133,1.9,junior_professional,92,80,90,83,78,0.129,75,99,95,0,0,0,0,0,1,1,0,84,pass
134,2.4,junior_professional,56,82,64,83,67,0.181,53,72,73,0,0,0,0,0,1,1,0,47,fail
135,9.3,senior_professional,46,77,73,62,73,0.206,69,51,100,0,0,0,0,0,1,1,0,58,fail
136,3.9,mid_level_expert,69,60,50,70,57,0.152,44,59,48,0,1,0,0,0,1,1,0,49,fail
137,13.0,industry_veteran,53,51,48,80,56,0.137,35,30,52,0,0,0,0,0,1,1,0,35,fail
138,0.2,fresher,64,90,93,74,96,0.144,103,87,100,0,0,0,0,0,1,1,0,72,pass
139,14.1,industry_veteran,82,44,92,51,58,0.286,106,52,54,0,0,0,0,0,1,1,0,48,fail
140,11.4,industry_veteran,88,73,89,72,79,0.228,102,83,66,0,0,0,0,0,1,1,0,72,pass
141,11.8,industry_veteran,61,55,66,53,88,0.192,122,70,63,0,0,0,0,0,1,1,0,47,fail
142,8.1,senior_professional,55,70,73,81,52,0.031,78,66,28,0,0,0,1,0,1,1,0,62,fail
143,4.9,mid_level_expert,100,81,91,99,100,0.077,40,100,98,0,0,0,0,0,1,1,0,77,pass
144,5.0,mid_level_expert,68,93,84,71,70,0.147,61,58,61,0,0,0,0,0,1,1,0,66,fail
145,6.3,senior_professional,100,99,94,78,74,0.01,79,76,90,0,0,0,0,0,1,1,0,88,pass
146,0.1,fresher,45,34,20,20,35,0.111,31,29,22,0,0,0,0,0,1,1,1,27,fail
147,9.2,senior_professional,90,100,100,81,79,0.033,44,100,97,0,0,0,0,0,1,1,0,95,pass
148,5.8,mid_level_expert,60,84,52,72,37,0.22,118,72,69,0,1,0,0,0,1,1,0,61,fail
149,0.7,fresher,61,48,54,45,51,0.129,115,68,62,0,0,0,0,0,1,1,0,43,fail
150,9.7,senior_professional,47,74,77,63,65,0.016,30,90,88,0,0,0,0,0,1,1,0,63,fail
151,14.8,industry_veteran,81,58,57,77,74,0.173,42,72,57,0,0,0,0,0,1,1,0,69,fail
152,12.7,industry_veteran,80,75,97,100,100,0.039,62,76,76,0,0,0,1,0,1,1,0,79,fail
153,5.3,mid_level_expert,50,58,75,72,41,0.092,73,84,49,0,0,0,0,0,1,1,0,44,fail
154,0.3,fresher,67,65,65,50,78,0.114,113,80,100,0,0,0,0,0,1,1,0,59,fail
155,7.6,senior_professional,51,67,74,65,69,0.046,128,91,63,0,0,0,0,0,1,1,0,66,fail
156,3.1,mid_level_expert,90,64,92,77,92,0.144,81,100,84,0,0,0,0,0,1,1,0,66,fail
157,3.9,mid_level_expert,41,89,67,73,77,0.174,39,56,74,0,0,0,0,0,1,1,0,45,fail
158,5.0,mid_level_expert,100,100,71,94,86,0.27,111,100,69,0,0,0,0,0,1,1,0,75,pass
159,2.7,junior_professional,72,80,59,63,55,0.133,82,51,66,0,0,0,0,0,1,1,0,56,fail
160,9.4,senior_professional,46,60,42,53,64,0.139,47,56,38,0,1,0,0,0,1,1,0,46,fail
161,0.1,fresher,77,53,55,58,54,0.193,83,68,71,0,0,0,0,0,1,1,0,53,fail
162,14.8,industry_veteran,51,80,73,75,54,0.114,52,69,54,0,0,0,0,0,1,1,0,54,fail
163,1.7,junior_professional,84,71,100,91,92,0.063,33,82,68,0,0,0,0,0,1,1,0,74,pass
164,9.3,senior_professional,74,65,60,55,71,0.148,28,60,88,0,0,0,0,0,1,1,0,63,fail
165,1.5,junior_professional,84,90,75,76,87,0.065,99,94,60,0,0,0,0,0,1,1,0,89,pass
166,6.9,senior_professional,76,89,60,67,82,0.077,56,77,68,0,1,0,0,0,1,1,0,77,fail
167,4.5,mid_level_expert,86,31,71,48,47,0.138,78,54,34,0,0,0,1,0,1,1,0,39,fail
168,3.5,mid_level_expert,68,90,52,62,59,0.186,124,73,67,0,0,0,0,0,1,1,0,55,fail
169,4.2,mid_level_expert,68,18,71,50,57,0.194,122,71,40,0,0,0,0,0,1,1,1,42,fail
170,2.4,junior_professional,71,39,25,53,58,0.059,41,58,34,0,0,0,0,0,1,1,0,44,fail
171,13.1,industry_veteran,82,80,96,73,50,0.104,58,89,77,0,0,0,0,1,1,1,0,78,fail
172,13.1,industry_veteran,98,80,97,90,72,0.055,128,77,89,0,0,0,0,0,1,1,0,89,pass
173,2.2,junior_professional,77,80,95,82,76,0.106,85,74,73,0,0,0,0,0,1,0,0,82,fail
174,10.7,industry_veteran,54,54,81,59,66,0.15,129,56,39,0,1,0,0,0,1,1,0,57,fail
175,0.5,fresher,42,23,44,37,9,0.199,113,42,50,0,0,0,0,0,1,1,0,39,fail
176,4.4,mid_level_expert,91,94,64,100,98,0.119,66,77,91,0,0,0,0,0,1,1,0,90,pass
177,5.3,mid_level_expert,59,51,54,74,36,0.154,73,25,73,0,0,0,0,0,1,1,0,46,fail
178,7.5,senior_professional,53,49,62,78,63,0.064,110,82,58,0,0,0,0,0,1,1,0,59,fail
179,0.1,fresher,20,21,16,18,30,0.109,105,31,28,1,0,0,0,0,1,1,0,15,fail
180,4.5,mid_level_expert,100,80,100,100,96,0.159,61,100,69,0,0,0,0,0,1,1,0,95,pass
181,10.2,industry_veteran,75,33,71,83,80,0.23,91,43,74,0,0,0,0,0,1,1,0,52,fail
182,0.6,fresher,31,62,66,53,36,0.16,122,63,41,0,1,1,0,0,1,1,1,51,fail
183,4.0,mid_level_expert,37,72,57,61,67,0.051,39,51,44,0,0,0,0,0,1,1,0,58,fail
184,5.4,mid_level_expert,39,52,38,33,53,0.155,92,48,41,0,0,0,0,0,1,1,0,28,fail
185,4.1,mid_level_expert,100,100,100,88,90,0.19,97,100,100,0,0,0,0,0,1,1,0,81,pass
186,2.1,junior_professional,55,69,73,69,63,0.079,41,83,66,0,0,0,0,0,1,1,0,52,fail
187,9.6,senior_professional,74,100,57,70,100,0.184,31,65,77,0,0,0,0,0,1,1,0,61,fail
188,6.6,senior_professional,64,62,47,90,61,0.186,103,58,62,0,1,0,0,0,1,1,0,53,fail
189,10.0,industry_veteran,70,86,92,84,78,0.17,70,93,78,0,0,0,0,0,1,1,0,65,fail
190,13.6,industry_veteran,68,67,75,81,61,0.017,32,80,86,0,0,0,0,0,1,1,0,65,fail
191,13.1,industry_veteran,61,39,49,69,77,0.115,110,59,51,1,0,0,0,0,1,1,0,55,fail
192,8.2,senior_professional,78,47,75,58,51,0.155,129,60,76,0,0,1,0,0,1,1,0,58,fail
193,6.9,senior_professional,100,100,96,100,89,0.125,28,100,100,0,0,0,0,0,1,1,0,95,pass
194,3.5,mid_level_expert,81,90,43,88,100,0.154,67,67,64,0,0,0,1,0,1,1,0,61,fail
195,0.1,fresher,59,70,57,82,58,0.223,76,72,72,0,0,0,0,0,1,1,0,61,fail
196,0.1,fresher,77,68,96,79,80,0.058,87,71,93,0,0,0,0,0,1,1,0,73,pass
197,5.7,mid_level_expert,89,91,98,89,79,0.082,96,67,90,0,0,0,0,0,1,1,0,76,pass
198,9.5,senior_professional,82,92,96,65,76,0.049,100,92,100,0,0,0,0,0,1,1,0,91,pass
199,6.6,senior_professional,62,96,77,100,75,0.013,121,77,79,0,0,0,0,0,1,1,0,62,fail
200,8.2,senior_professional,55,61,56,36,54,0.197,36,36,54,0,0,0,0,0,1,1,0,45,fail
201,11.6,industry_veteran,99,77,76,83,61,0.076,70,74,74,0,0,0,0,0,1,1,0,78,pass
202,2.4,junior_professional,46,52,83,46,75,0.218,51,62,69,0,0,0,0,0,1,1,0,46,fail
203,2.8,junior_professional,99,91,89,90,99,0.094,70,81,74,0,0,0,0,0,1,1,0,85,pass
204,3.2,mid_level_expert,33,58,41,69,35,0.097,58,81,53,1,0,0,0,0,1,1,0,41,fail
205,2.7,junior_professional,71,75,60,49,48,0.196,32,67,77,1,0,0,0,0,1,1,0,57,fail
206,1.6,junior_professional,100,100,100,100,77,0.123,97,99,94,0,0,0,0,0,1,1,1,97,fail
207,4.6,mid_level_expert,51,45,31,46,49,0.188,118,50,50,0,0,0,0,0,1,1,0,43,fail
208,1.7,junior_professional,50,40,56,81,55,0.17,75,47,58,0,0,0,0,0,1,1,0,47,fail
209,5.8,mid_level_expert,86,72,86,73,87,0.179,76,82,80,0,0,0,0,0,1,1,0,86,pass
210,6.1,senior_professional,92,65,80,76,100,0.052,97,92,100,0,0,0,0,0,1,1,0,87,pass
211,4.9,mid_level_expert,50,49,64,90,56,0.182,64,69,86,0,0,0,0,0,1,1,0,66,fail
212,0.3,fresher,95,89,79,93,80,0.092,129,73,100,0,0,0,0,0,1,1,0,99,pass
213,0.8,fresher,48,54,49,55,71,0.207,69,67,72,1,0,0,0,0,1,1,0,53,fail
214,13.1,industry_veteran,46,53,62,100,70,0.11,83,62,70,0,0,0,0,0,1,1,0,54,fail
215,7.8,senior_professional,80,66,56,68,62,0.07,38,50,58,0,0,0,0,0,1,1,0,52,fail
216,4.2,mid_level_expert,65,93,100,66,100,0.103,48,67,91,0,0,0,0,0,1,1,0,78,pass
217,10.7,industry_veteran,30,23,35,55,72,0.103,123,34,45,0,0,0,0,0,1,1,0,30,fail
218,11.3,industry_veteran,33,79,60,74,57,0.147,123,62,76,0,0,0,0,0,1,1,0,51,fail
219,2.6,junior_professional,44,48,41,49,71,0.16,60,77,38,0,1,0,0,0,1,1,0,38,fail
220,2.4,junior_professional,91,73,71,65,51,0.109,47,80,76,0,0,0,0,0,0,1,0,65,fail
221,2.0,junior_professional,84,97,100,75,78,0.134,122,70,89,0,0,0,0,0,1,1,0,76,pass
222,0.2,fresher,55,60,97,82,74,0.095,117,68,64,0,0,0,0,0,1,1,0,53,fail
223,9.3,senior_professional,39,35,39,49,47,0.131,97,40,54,0,0,0,0,0,1,1,0,35,fail
224,5.4,mid_level_expert,38,58,41,71,46,0.181,97,47,57,0,0,0,0,0,1,1,0,45,fail
225,6.7,senior_professional,100,100,91,88,90,0.049,83,100,72,0,1,0,0,0,1,1,0,87,fail
226,6.5,senior_professional,70,77,100,81,87,0.137,75,62,67,0,0,0,0,0,1,0,0,80,fail
227,4.8,mid_level_expert,100,94,100,70,100,0.01,113,85,100,1,0,0,0,0,1,1,0,86,fail
228,13.6,industry_veteran,72,63,67,86,72,0.103,118,61,86,0,0,0,0,0,1,1,0,66,fail
229,4.9,mid_level_expert,33,12,33,36,37,0.184,53,35,47,0,0,0,0,0,1,1,0,29,fail
230,13.0,industry_veteran,83,60,72,93,51,0.105,56,88,58,0,0,0,0,0,1,1,0,69,fail
231,2.5,junior_professional,100,100,94,81,100,0.134,69,96,100,0,0,0,0,0,1,1,0,87,pass
232,9.1,senior_professional,76,72,95,69,61,0.11,100,81,57,0,0,0,0,0,1,1,0,66,fail
233,3.9,mid_level_expert,60,93,79,77,69,0.169,94,53,65,1,0,0,0,0,1,1,0,63,fail
234,5.9,mid_level_expert,36,29,38,31,43,0.074,50,10,53,0,0,0,0,0,1,1,0,22,fail
235,2.0,junior_professional,36,37,59,36,29,0.261,111,32,52,0,0,0,0,0,1,1,0,26,fail
236,10.9,industry_veteran,59,50,50,77,39,0.2,36,23,55,0,0,0,0,0,1,1,0,43,fail
237,0.2,fresher,44,47,39,47,44,0.061,25,14,39,0,0,1,0,0,1,1,0,36,fail
238,4.1,mid_level_expert,66,87,77,82,71,0.045,55,86,51,0,0,0,0,0,1,1,0,78,pass
239,6.9,senior_professional,92,70,100,100,100,0.153,53,99,100,0,0,0,0,0,1,1,0,92,pass
240,14.0,industry_veteran,98,89,82,76,94,0.121,66,95,83,0,0,0,0,0,1,1,0,79,pass
241,7.2,senior_professional,99,75,72,87,97,0.01,88,73,100,0,0,0,0,0,1,1,0,81,pass
242,0.9,fresher,50,36,75,71,52,0.072,75,64,76,0,0,0,0,0,1,1,0,49,fail
243,5.0,mid_level_expert,72,70,69,73,68,0.058,67,65,72,0,0,0,0,0,1,1,0,58,fail
244,8.9,senior_professional,100,100,98,100,89,0.082,81,100,100,0,0,0,0,0,1,1,0,88,pass
245,0.7,fresher,77,74,65,81,85,0.013,109,63,100,0,0,0,0,0,1,1,0,67,fail
246,9.1,senior_professional,73,99,62,60,77,0.136,60,66,79,0,1,0,0,0,1,1,0,61,fail
247,1.2,junior_professional,100,43,100,96,72,0.14,75,100,63,0,0,0,0,0,1,1,1,59,fail
248,0.0,fresher,38,39,44,57,44,0.142,117,30,61,0,0,0,0,0,1,1,0,38,fail
249,14.6,industry_veteran,75,85,71,87,62,0.158,110,64,92,0,0,0,0,0,0,1,0,71,fail
250,1.0,junior_professional,69,69,100,100,81,0.035,46,100,88,0,0,0,0,0,1,1,0,75,pass
251,10.9,industry_veteran,68,69,86,60,51,0.261,130,76,61,0,0,0,0,0,1,1,0,62,fail
252,2.7,junior_professional,47,70,65,65,53,0.206,38,60,25,0,0,0,0,0,1,1,0,20,fail
253,4.8,mid_level_expert,70,55,69,78,61,0.194,129,43,79,0,0,0,0,0,1,1,0,52,fail
254,9.2,senior_professional,85,91,45,69,55,0.101,69,62,96,0,0,0,0,0,1,1,0,74,pass
255,1.5,junior_professional,50,35,60,69,55,0.175,44,57,33,0,0,0,0,0,1,1,0,49,fail
256,9.6,senior_professional,77,48,94,63,76,0.01,112,82,86,0,0,1,0,0,1,1,0,71,fail
257,1.5,junior_professional,99,100,100,100,100,0.166,56,97,100,0,0,0,0,0,1,1,0,79,pass
