id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
20,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used focus, calm, breaks, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",95,80,99,100,96,pass
21,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a team task, I used a simple STAR structure. I focused on course, practice, feedback, reflection, mentor, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",87,83,78,68,82,pass
22,Stress handling,fresher,Describe a high-pressure situation and your response.,"In my last project, I used a simple STAR structure. I focused on prioritize, focus, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",72,57,36,68,46,fail
23,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used edge cases, documentation, quality, review, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",68,81,79,62,76,pass
24,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on checklist, edge cases, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",75,49,81,42,76,pass
25,Attention to detail,fresher,How do you review your work before delivery?,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used documentation, edge cases, quality, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",81,88,60,85,77,pass
26,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned clarify, simple language, audience, updates and learned that I should communicate earlier. The experience improved my confidence.",34,28,22,50,34,fail
27,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on checklist, edge cases, review, quality, accuracy, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",89,63,63,80,59,fail
28,Communication,junior_professional,Describe a time clear communication helped a project.,"During a team task, I tried to help but my answer was not very structured. I mentioned questions, audience and learned that I should communicate earlier. I kept the discussion respectful.",32,61,31,24,51,fail
29,Collaboration,industry_veteran,How do you support teammates during pressure?,"In a university project, I tried to help but my answer was not very structured. I mentioned shared goal, support, feedback, listen, team and learned that I should communicate earlier. This helped me become more reliable.",32,52,51,13,38,fail
30,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a team task, I used a simple STAR structure. I focused on checklist, review, documentation, edge cases, accuracy, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",83,82,90,72,82,pass
31,Collaboration,industry_veteran,How do you support teammates during pressure?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned align, support, feedback and learned that I should communicate earlier. The experience improved my confidence.",38,30,29,28,43,fail
32,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on practice, reflection, experiment, course, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",44,67,60,62,72,pass
33,Stress handling,fresher,How do you stay productive during deadlines?,"In a university project, I used a simple STAR structure. I focused on plan, prioritize, calm, breaks, escalate, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",54,67,60,57,74,pass
34,Collaboration,fresher,How do you support teammates during pressure?,"During a team task, I used a simple STAR structure. I focused on listen, feedback, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",42,76,70,55,70,pass
35,Communication,industry_veteran,Describe a time clear communication helped a project.,"During a sprint review, I clarified the task, listened to concerns, took ownership of my part, used summarize, simple language, questions, audience, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",55,73,62,85,64,fail
36,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"While handling a delivery, I used a simple STAR structure. I focused on quality, checklist, edge cases, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",75,68,63,75,70,pass
37,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used focus, prioritize, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",71,100,78,56,69,fail
38,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"In my last project, I tried to help but my answer was not very structured. I mentioned escalate, prioritize, calm, breaks, plan and learned that I should communicate earlier. I shared the learning with others.",30,56,51,51,47,fail
39,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used focus, prioritize, escalate, plan, calm, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",88,87,90,100,96,pass
40,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used mentor, feedback, course, reflection, experiment, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",100,100,100,100,98,pass
41,Communication,fresher,How do you explain complex work to non-technical people?,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used clarify, simple language, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,90,86,83,86,pass
42,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"During a team task, I tried to help but my answer was not very structured. I mentioned team, shared goal, feedback and learned that I should communicate earlier. I shared the learning with others.",18,48,41,57,39,fail
43,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"While handling a delivery, I used a simple STAR structure. I focused on course, reflection, feedback, experiment, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",58,74,80,51,68,fail
44,Openness to learning,senior_professional,Describe a time you learned a new tool quickly.,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used course, reflection, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",96,97,89,100,82,pass
45,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I used a simple STAR structure. I focused on support, team, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",72,83,84,95,89,pass
46,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used support, listen, feedback, shared goal, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",77,96,71,93,95,pass
47,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on review, edge cases, accuracy, documentation, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",84,70,64,49,69,fail
48,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a team task, I used a simple STAR structure. I focused on reflection, practice, experiment, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",63,68,61,72,69,fail
49,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"In my last project, I tried to help but my answer was not very structured. I mentioned checklist, quality, documentation, accuracy and learned that I should communicate earlier. This helped me become more reliable.",45,34,56,38,35,fail
50,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"In a university project, I tried to help but my answer was not very structured. I mentioned focus, calm, escalate, prioritize, breaks and learned that I should communicate earlier. This helped me become more reliable.",56,76,58,48,49,fail
51,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used updates, questions, audience, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",86,92,84,67,73,pass
52,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on checklist, edge cases, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",95,93,64,85,78,pass
53,Communication,senior_professional,How do you explain complex work to non-technical people?,"During a team task, I tried to help but my answer was not very structured. I mentioned simple language, summarize, updates, audience and learned that I should communicate earlier. This helped me become more reliable.",60,44,55,19,52,fail
54,Communication,fresher,Describe a time clear communication helped a project.,"In a university project, I clarified the action, listened to concerns, took ownership of my part, used audience, questions, clarify, summarize, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",98,100,100,99,89,pass
55,Attention to detail,mid_level_expert,How do you review your work before delivery?,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used accuracy, review, checklist, quality, documentation, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",100,97,86,86,80,pass
56,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on reflection, mentor, experiment, course, practice, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",56,76,65,56,66,fail
57,Attention to detail,senior_professional,How do you review your work before delivery?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned accuracy, edge cases, documentation, quality, review and learned that I should communicate earlier. I kept the discussion respectful.",42,54,51,63,43,fail
58,Collaboration,senior_professional,How do you support teammates during pressure?,"In a university project, I tried to help but my answer was not very structured. I mentioned team, support, align, feedback, shared goal and learned that I should communicate earlier. This helped me become more reliable.",21,13,29,48,27,fail
59,Communication,fresher,Describe a time clear communication helped a project.,"During a team task, I used a simple STAR structure. I focused on clarify, summarize, simple language, updates, audience, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",57,74,78,62,69,fail
60,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"In my last project, I used a simple STAR structure. I focused on feedback, align, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",42,73,86,63,49,fail
61,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on accuracy, review, checklist, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",62,77,64,86,73,pass
62,Communication,fresher,Describe a time clear communication helped a project.,"During a team task, I tried to help but my answer was not very structured. I mentioned summarize, clarify, updates, simple language and learned that I should communicate earlier. The experience improved my confidence.",42,52,39,49,38,fail
63,Stress handling,industry_veteran,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on calm, plan, breaks, escalate, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",93,100,57,52,76,pass
64,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In my last project, I used a simple STAR structure. I focused on shared goal, align, listen, support, team, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",55,75,85,94,79,pass
65,Communication,fresher,How do you explain complex work to non-technical people?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned simple language, audience, updates and learned that I should communicate earlier. This helped me become more reliable.",39,18,42,43,37,fail
66,Stress handling,senior_professional,How do you stay productive during deadlines?,"In my last project, I tried to help but my answer was not very structured. I mentioned calm, plan, prioritize, breaks, focus and learned that I should communicate earlier. The experience improved my confidence.",32,36,21,12,19,fail
67,Communication,fresher,How do you explain complex work to non-technical people?,"In a university project, I tried to help but my answer was not very structured. I mentioned simple language, clarify, summarize, audience and learned that I should communicate earlier. I kept the discussion respectful.",16,41,30,30,19,fail
68,Communication,industry_veteran,How do you explain complex work to non-technical people?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used questions, summarize, audience, simple language, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",53,100,81,90,72,pass
69,Attention to detail,industry_veteran,How do you review your work before delivery?,"During a team task, I used a simple STAR structure. I focused on quality, edge cases, review, accuracy, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",81,70,57,63,84,pass
70,Stress handling,industry_veteran,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on prioritize, breaks, focus, escalate, calm, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",61,59,48,37,53,fail
71,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I used a simple STAR structure. I focused on align, feedback, support, team, listen, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",77,85,41,58,61,fail
72,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used reflection, mentor, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",88,87,87,94,79,pass
73,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used practice, feedback, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",93,86,76,100,100,pass
74,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"In a university project, I used a simple STAR structure. I focused on course, mentor, feedback, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",76,27,86,74,79,pass
75,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used feedback, practice, mentor, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,100,100,100,100,pass
76,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"In a university project, I used a simple STAR structure. I focused on course, mentor, reflection, experiment, practice, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",78,56,71,80,72,pass
77,Stress handling,junior_professional,How do you stay productive during deadlines?,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used escalate, plan, calm, focus, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",65,62,71,92,83,pass
78,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on feedback, practice, mentor, course, reflection, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",77,78,64,42,63,fail
79,Stress handling,junior_professional,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on prioritize, plan, escalate, focus, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",64,62,68,73,72,pass
80,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"In my last project, I clarified the action, listened to concerns, took ownership of my part, used practice, course, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",82,63,79,86,85,pass
81,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on quality, review, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",65,78,76,73,83,pass
82,Communication,senior_professional,How do you explain complex work to non-technical people?,"In my last project, I clarified the situation, listened to concerns, took ownership of my part, used updates, questions, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",89,91,98,90,97,pass
83,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used course, feedback, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",73,85,81,85,77,pass
84,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on practice, feedback, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",65,71,72,69,86,pass
85,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a team task, I used a simple STAR structure. I focused on escalate, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",57,69,48,75,54,fail
86,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used documentation, accuracy, quality, edge cases, review, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",84,83,91,80,79,pass
87,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used listen, team, shared goal, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,85,74,79,99,pass
88,Stress handling,fresher,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on calm, breaks, prioritize, focus, escalate, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",70,64,63,66,57,fail
89,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"In a university project, I used a simple STAR structure. I focused on reflection, feedback, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",54,57,59,78,60,fail
90,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a sprint review, I used a simple STAR structure. I focused on questions, clarify, summarize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",74,92,95,73,75,pass
91,Communication,industry_veteran,Describe a time clear communication helped a project.,"In my last project, I used a simple STAR structure. I focused on questions, updates, clarify, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",47,66,55,53,52,fail
92,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used team, feedback, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",80,94,71,100,82,pass
93,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used breaks, calm, focus, plan, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",81,67,83,79,79,pass
94,Communication,fresher,How do you explain complex work to non-technical people?,"In my last project, I clarified the action, listened to concerns, took ownership of my part, used clarify, audience, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,87,74,76,85,pass
95,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used listen, support, team, shared goal, align, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,87,93,91,100,pass
96,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on plan, prioritize, focus, escalate, calm, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",41,75,81,49,52,fail
97,Stress handling,junior_professional,How do you stay productive during deadlines?,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used prioritize, escalate, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",82,84,86,96,92,pass
98,Stress handling,fresher,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on breaks, focus, escalate, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",80,56,54,83,70,pass
99,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used shared goal, team, feedback, listen, support, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",84,89,83,90,83,pass
100,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a team task, I used a simple STAR structure. I focused on accuracy, quality, documentation, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",80,59,67,68,61,fail
101,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"In my last project, I used a simple STAR structure. I focused on support, feedback, align, listen, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",60,65,51,79,67,fail
102,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on experiment, practice, mentor, course, feedback, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",35,47,62,50,43,fail
103,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on escalate, prioritize, plan, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",62,67,43,70,55,fail
104,Attention to detail,junior_professional,How do you review your work before delivery?,"In my last project, I used a simple STAR structure. I focused on review, documentation, quality, checklist, edge cases, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",61,61,54,48,52,fail
105,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on practice, course, feedback, experiment, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",97,60,100,73,79,pass
106,Attention to detail,fresher,How do you review your work before delivery?,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used accuracy, review, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",68,73,75,69,65,fail
107,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used support, team, shared goal, align, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",74,100,63,80,78,pass
108,Communication,senior_professional,How do you explain complex work to non-technical people?,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used audience, summarize, updates, clarify, questions, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",70,93,79,52,80,pass
109,Attention to detail,senior_professional,How do you review your work before delivery?,"During a team task, I used a simple STAR structure. I focused on documentation, quality, edge cases, review, accuracy, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",58,60,82,68,76,pass
110,Communication,industry_veteran,Describe a time clear communication helped a project.,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used summarize, updates, simple language, questions, audience, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,84,100,82,100,pass
111,Communication,fresher,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on audience, questions, simple language, updates, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",59,80,79,72,63,fail
112,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"In my last project, I tried to help but my answer was not very structured. I mentioned prioritize, focus, plan, breaks, escalate and learned that I should communicate earlier. I shared the learning with others.",45,21,50,51,46,fail
113,Stress handling,fresher,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on escalate, calm, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",29,52,57,71,51,fail
114,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on documentation, edge cases, checklist, review, accuracy, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",71,81,59,81,80,pass
115,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"During a sprint review, I tried to help but my answer was not very structured. I mentioned review, documentation, accuracy and learned that I should communicate earlier. I shared the learning with others.",55,48,76,57,51,fail
116,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"While handling a delivery, I used a simple STAR structure. I focused on review, quality, documentation, accuracy, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",80,86,69,91,87,pass
117,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on prioritize, focus, plan, breaks, calm, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",28,62,53,66,63,fail
118,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used team, align, listen, feedback, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",84,100,79,90,97,pass
119,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"In a university project, I tried to help but my answer was not very structured. I mentioned course, feedback, practice, experiment, mentor and learned that I should communicate earlier. This helped me become more reliable.",43,53,36,39,33,fail
120,Stress handling,senior_professional,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on prioritize, focus, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",77,78,91,84,81,pass
121,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a sprint review, I tried to help but my answer was not very structured. I mentioned checklist, documentation, edge cases and learned that I should communicate earlier. The experience improved my confidence.",21,42,52,47,46,fail
122,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"While handling a delivery, I used a simple STAR structure. I focused on review, quality, documentation, checklist, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",72,69,64,74,65,fail
123,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used accuracy, review, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",87,82,82,74,86,pass
124,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on prioritize, escalate, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",71,68,60,53,73,pass
125,Collaboration,fresher,How do you support teammates during pressure?,"During a sprint review, I used a simple STAR structure. I focused on feedback, shared goal, support, team, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",74,47,77,78,66,fail
