id,role,experience_band,years_experience,focus_area,skill_topic,difficulty_level,question_text,question_family,skill_area
Q_00024,Data Scientist,fresher,0.8,technical,DBMS,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about DBMS. Include practical constraints and evaluation points. Question id 24.",architecture,DBMS
Q_00025,Data Scientist,fresher,0.9,technical,Artificial Intelligence,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 25.",architecture,Artificial Intelligence
Q_00026,Data Scientist,fresher,0.4,technical,Machine Learning,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 26.",architecture,Machine Learning
Q_00027,Data Scientist,fresher,0.6,technical,Machine Learning,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 27.",architecture,Machine Learning
Q_00028,Data Scientist,fresher,0.3,personality,Attention to detail,easy,"For a Data Scientist, ask a easy behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 28.",behavioral,Communication
Q_00029,Data Scientist,fresher,0.2,personality,Stress handling,easy,"For a Data Scientist, ask a easy scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 29.",scenario,Communication
Q_00030,Data Scientist,fresher,0.8,personality,Attention to detail,easy,"For a Data Scientist, ask a easy behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 30.",behavioral,Communication
Q_00031,Data Scientist,fresher,0.9,personality,Attention to detail,easy,"For a Data Scientist, ask a easy behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 31.",behavioral,Communication
Q_00032,Data Scientist,fresher,0.7,personality,Communication,easy,"For a Data Scientist, ask a easy behavioral personality question about Communication. The answer should show examples, ownership, and reflection. Question id 32.",behavioral,Communication
Q_00033,Data Scientist,fresher,0.1,personality,Openness to learning,easy,"For a Data Scientist, ask a easy behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 33.",behavioral,Communication
Q_00034,Data Scientist,fresher,0.3,personality,Openness to learning,easy,"For a Data Scientist, ask a easy behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 34.",behavioral,Communication
Q_00035,Data Scientist,fresher,0.1,personality,Collaboration,easy,"For a Data Scientist, ask a easy behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 35.",behavioral,Communication
Q_00036,Data Scientist,fresher,0.4,personality,Communication,easy,"For a Data Scientist, ask a easy scenario personality question about Communication. The answer should show examples, ownership, and reflection. Question id 36.",scenario,Communication
Q_00037,Data Scientist,fresher,0.7,personality,Communication,medium,"For a Data Scientist, ask a medium conceptual personality question about Communication. The answer should show examples, ownership, and reflection. Question id 37.",conceptual,Communication
Q_00038,Data Scientist,fresher,0.7,personality,Collaboration,medium,"For a Data Scientist, ask a medium behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 38.",behavioral,Communication
Q_00039,Data Scientist,fresher,0.5,personality,Attention to detail,medium,"For a Data Scientist, ask a medium behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 39.",behavioral,Communication
Q_00040,Data Scientist,fresher,0.4,personality,Collaboration,medium,"For a Data Scientist, ask a medium behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 40.",behavioral,Communication
Q_00041,Data Scientist,fresher,0.2,personality,Stress handling,medium,"For a Data Scientist, ask a medium behavioral personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 41.",behavioral,Communication
Q_00042,Data Scientist,fresher,0.3,personality,Communication,medium,"For a Data Scientist, ask a medium behavioral personality question about Communication. The answer should show examples, ownership, and reflection. Question id 42.",behavioral,Communication
Q_00043,Data Scientist,fresher,0.1,personality,Openness to learning,medium,"For a Data Scientist, ask a medium behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 43.",behavioral,Communication
Q_00044,Data Scientist,fresher,0.7,personality,Openness to learning,medium,"For a Data Scientist, ask a medium behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 44.",behavioral,Communication
Q_00045,Data Scientist,fresher,0.7,personality,Stress handling,medium,"For a Data Scientist, ask a medium behavioral personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 45.",behavioral,Communication
Q_00046,Data Scientist,fresher,0.1,personality,Collaboration,hard,"For a Data Scientist, ask a hard scenario personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 46.",scenario,Communication
Q_00047,Data Scientist,fresher,0.3,personality,Attention to detail,hard,"For a Data Scientist, ask a hard scenario personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 47.",scenario,Communication
Q_00048,Data Scientist,fresher,0.5,personality,Collaboration,hard,"For a Data Scientist, ask a hard scenario personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 48.",scenario,Communication
Q_00049,Data Scientist,fresher,0.1,personality,Attention to detail,hard,"For a Data Scientist, ask a hard scenario personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 49.",scenario,Communication
Q_00050,Data Scientist,fresher,0.0,personality,Communication,hard,"For a Data Scientist, ask a hard scenario personality question about Communication. The answer should show examples, ownership, and reflection. Question id 50.",scenario,Communication
Q_00051,Data Scientist,fresher,0.1,personality,Stress handling,hard,"For a Data Scientist, ask a hard conceptual personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 51.",conceptual,Communication
Q_00052,Data Scientist,fresher,0.5,personality,Communication,hard,"For a Data Scientist, ask a hard conceptual personality question about Communication. The answer should show examples, ownership, and reflection. Question id 52.",conceptual,Communication
Q_00053,Data Scientist,fresher,0.3,personality,Attention to detail,hard,"For a Data Scientist, ask a hard scenario personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 53.",scenario,Communication
Q_00054,Data Scientist,fresher,0.1,personality,Collaboration,hard,"For a Data Scientist, ask a hard behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 54.",behavioral,Communication
Q_00055,Data Scientist,junior_professional,2.7,technical,Artificial Intelligence,easy,"For a Data Scientist with junior_professional experience, ask a easy scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 55.",scenario,Artificial Intelligence
Q_00056,Data Scientist,junior_professional,2.7,technical,Artificial Intelligence,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 56.",conceptual,Artificial Intelligence
Q_00057,Data Scientist,junior_professional,1.5,technical,DBMS,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 57.",conceptual,DBMS
Q_00058,Data Scientist,junior_professional,2.5,technical,Machine Learning,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 58.",conceptual,Machine Learning
Q_00059,Data Scientist,junior_professional,1.3,technical,Machine Learning,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 59.",conceptual,Machine Learning
Q_00060,Data Scientist,junior_professional,2.7,technical,Machine Learning,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 60.",conceptual,Machine Learning
Q_00061,Data Scientist,junior_professional,2.5,technical,DBMS,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 61.",conceptual,DBMS
Q_00062,Data Scientist,junior_professional,1.8,technical,Artificial Intelligence,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 62.",conceptual,Artificial Intelligence
Q_00063,Data Scientist,junior_professional,1.2,technical,DBMS,easy,"For a Data Scientist with junior_professional experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 63.",conceptual,DBMS
Q_00064,Data Scientist,junior_professional,1.4,technical,Artificial Intelligence,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 64.",scenario,Artificial Intelligence
Q_00065,Data Scientist,junior_professional,2.2,technical,Machine Learning,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 65.",scenario,Machine Learning
Q_00066,Data Scientist,junior_professional,1.7,technical,Machine Learning,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 66.",scenario,Machine Learning
Q_00067,Data Scientist,junior_professional,1.1,technical,DBMS,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 67.",scenario,DBMS
Q_00068,Data Scientist,junior_professional,2.3,technical,DBMS,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 68.",scenario,DBMS
Q_00069,Data Scientist,junior_professional,1.6,technical,Machine Learning,medium,"For a Data Scientist with junior_professional experience, ask a medium optimization question about Machine Learning. Include practical constraints and evaluation points. Question id 69.",optimization,Machine Learning
Q_00070,Data Scientist,junior_professional,1.4,technical,Machine Learning,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 70.",scenario,Machine Learning
Q_00071,Data Scientist,junior_professional,2.3,technical,Artificial Intelligence,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 71.",scenario,Artificial Intelligence
Q_00072,Data Scientist,junior_professional,2.8,technical,DBMS,medium,"For a Data Scientist with junior_professional experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 72.",scenario,DBMS
Q_00073,Data Scientist,junior_professional,1.6,technical,Artificial Intelligence,hard,"For a Data Scientist with junior_professional experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 73.",architecture,Artificial Intelligence
Q_00074,Data Scientist,junior_professional,2.1,technical,Artificial Intelligence,hard,"For a Data Scientist with junior_professional experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 74.",architecture,Artificial Intelligence
Q_00075,Data Scientist,junior_professional,1.3,technical,Artificial Intelligence,hard,"For a Data Scientist with junior_professional experience, ask a hard debugging question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 75.",debugging,Artificial Intelligence
Q_00076,Data Scientist,junior_professional,2.8,technical,Artificial Intelligence,hard,"For a Data Scientist with junior_professional experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 76.",architecture,Artificial Intelligence
Q_00077,Data Scientist,junior_professional,1.2,technical,Machine Learning,hard,"For a Data Scientist with junior_professional experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 77.",architecture,Machine Learning
Q_00078,Data Scientist,junior_professional,2.7,technical,DBMS,hard,"For a Data Scientist with junior_professional experience, ask a hard architecture question about DBMS. Include practical constraints and evaluation points. Question id 78.",architecture,DBMS
Q_00079,Data Scientist,junior_professional,2.8,technical,Artificial Intelligence,hard,"For a Data Scientist with junior_professional experience, ask a hard conceptual question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 79.",conceptual,Artificial Intelligence
Q_00080,Data Scientist,junior_professional,2.5,technical,Machine Learning,hard,"For a Data Scientist with junior_professional experience, ask a hard optimization question about Machine Learning. Include practical constraints and evaluation points. Question id 80.",optimization,Machine Learning
Q_00081,Data Scientist,junior_professional,2.2,technical,Artificial Intelligence,hard,"For a Data Scientist with junior_professional experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 81.",architecture,Artificial Intelligence
Q_00082,Data Scientist,junior_professional,1.6,personality,Collaboration,easy,"For a Data Scientist, ask a easy behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 82.",behavioral,Communication
Q_00083,Data Scientist,junior_professional,1.1,personality,Attention to detail,easy,"For a Data Scientist, ask a easy behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 83.",behavioral,Communication
Q_00084,Data Scientist,junior_professional,2.1,personality,Attention to detail,easy,"For a Data Scientist, ask a easy conceptual personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 84.",conceptual,Communication
Q_00085,Data Scientist,junior_professional,2.1,personality,Collaboration,easy,"For a Data Scientist, ask a easy behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 85.",behavioral,Communication
Q_00086,Data Scientist,junior_professional,2.0,personality,Stress handling,easy,"For a Data Scientist, ask a easy behavioral personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 86.",behavioral,Communication
Q_00087,Data Scientist,junior_professional,2.8,personality,Stress handling,easy,"For a Data Scientist, ask a easy scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 87.",scenario,Communication
Q_00088,Data Scientist,junior_professional,2.8,personality,Attention to detail,easy,"For a Data Scientist, ask a easy behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 88.",behavioral,Communication
Q_00089,Data Scientist,junior_professional,2.2,personality,Collaboration,easy,"For a Data Scientist, ask a easy behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 89.",behavioral,Communication
Q_00090,Data Scientist,junior_professional,1.5,personality,Stress handling,easy,"For a Data Scientist, ask a easy scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 90.",scenario,Communication
Q_00091,Data Scientist,junior_professional,1.7,personality,Stress handling,medium,"For a Data Scientist, ask a medium conceptual personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 91.",conceptual,Communication
Q_00092,Data Scientist,junior_professional,1.8,personality,Openness to learning,medium,"For a Data Scientist, ask a medium behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 92.",behavioral,Communication
Q_00093,Data Scientist,junior_professional,1.5,personality,Collaboration,medium,"For a Data Scientist, ask a medium scenario personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 93.",scenario,Communication
Q_00094,Data Scientist,junior_professional,1.6,personality,Communication,medium,"For a Data Scientist, ask a medium behavioral personality question about Communication. The answer should show examples, ownership, and reflection. Question id 94.",behavioral,Communication
Q_00095,Data Scientist,junior_professional,1.9,personality,Stress handling,medium,"For a Data Scientist, ask a medium behavioral personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 95.",behavioral,Communication
Q_00096,Data Scientist,junior_professional,1.7,personality,Attention to detail,medium,"For a Data Scientist, ask a medium behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 96.",behavioral,Communication
Q_00097,Data Scientist,junior_professional,2.4,personality,Attention to detail,medium,"For a Data Scientist, ask a medium behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 97.",behavioral,Communication
Q_00098,Data Scientist,junior_professional,2.4,personality,Communication,medium,"For a Data Scientist, ask a medium behavioral personality question about Communication. The answer should show examples, ownership, and reflection. Question id 98.",behavioral,Communication
Q_00099,Data Scientist,junior_professional,2.7,personality,Openness to learning,medium,"For a Data Scientist, ask a medium behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 99.",behavioral,Communication
Q_00100,Data Scientist,junior_professional,2.9,personality,Openness to learning,hard,"For a Data Scientist, ask a hard scenario personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 100.",scenario,Communication
Q_00101,Data Scientist,junior_professional,2.8,personality,Collaboration,hard,"For a Data Scientist, ask a hard scenario personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 101.",scenario,Communication
Q_00102,Data Scientist,junior_professional,1.0,personality,Attention to detail,hard,"For a Data Scientist, ask a hard behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 102.",behavioral,Communication
Q_00103,Data Scientist,junior_professional,2.1,personality,Stress handling,hard,"For a Data Scientist, ask a hard scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 103.",scenario,Communication
Q_00104,Data Scientist,junior_professional,1.4,personality,Stress handling,hard,"For a Data Scientist, ask a hard scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 104.",scenario,Communication
Q_00105,Data Scientist,junior_professional,2.7,personality,Stress handling,hard,"For a Data Scientist, ask a hard scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 105.",scenario,Communication
Q_00106,Data Scientist,junior_professional,1.6,personality,Stress handling,hard,"For a Data Scientist, ask a hard scenario personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 106.",scenario,Communication
Q_00107,Data Scientist,junior_professional,2.0,personality,Communication,hard,"For a Data Scientist, ask a hard scenario personality question about Communication. The answer should show examples, ownership, and reflection. Question id 107.",scenario,Communication
Q_00108,Data Scientist,junior_professional,2.5,personality,Stress handling,hard,"For a Data Scientist, ask a hard behavioral personality question about Stress handling. The answer should show examples, ownership, and reflection. Question id 108.",behavioral,Communication
Q_00109,Data Scientist,mid_level_expert,5.2,technical,DBMS,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 109.",conceptual,DBMS
Q_00110,Data Scientist,mid_level_expert,4.8,technical,Artificial Intelligence,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 110.",conceptual,Artificial Intelligence
Q_00111,Data Scientist,mid_level_expert,5.8,technical,DBMS,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 111.",conceptual,DBMS
Q_00112,Data Scientist,mid_level_expert,3.8,technical,Machine Learning,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 112.",conceptual,Machine Learning
Q_00113,Data Scientist,mid_level_expert,4.2,technical,Artificial Intelligence,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 113.",conceptual,Artificial Intelligence
Q_00114,Data Scientist,mid_level_expert,3.0,technical,DBMS,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 114.",conceptual,DBMS
Q_00115,Data Scientist,mid_level_expert,5.0,technical,DBMS,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 115.",conceptual,DBMS
Q_00116,Data Scientist,mid_level_expert,4.9,technical,Machine Learning,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 116.",conceptual,Machine Learning
Q_00117,Data Scientist,mid_level_expert,3.7,technical,DBMS,easy,"For a Data Scientist with mid_level_expert experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 117.",conceptual,DBMS
Q_00118,Data Scientist,mid_level_expert,3.1,technical,Machine Learning,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 118.",scenario,Machine Learning
Q_00119,Data Scientist,mid_level_expert,5.5,technical,Machine Learning,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 119.",scenario,Machine Learning
Q_00120,Data Scientist,mid_level_expert,3.2,technical,DBMS,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 120.",scenario,DBMS
Q_00121,Data Scientist,mid_level_expert,3.3,technical,DBMS,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 121.",scenario,DBMS
Q_00122,Data Scientist,mid_level_expert,4.3,technical,Artificial Intelligence,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 122.",scenario,Artificial Intelligence
Q_00123,Data Scientist,mid_level_expert,3.6,technical,Artificial Intelligence,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 123.",scenario,Artificial Intelligence
Q_00124,Data Scientist,mid_level_expert,4.1,technical,Artificial Intelligence,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 124.",scenario,Artificial Intelligence
Q_00125,Data Scientist,mid_level_expert,4.5,technical,Machine Learning,medium,"For a Data Scientist with mid_level_expert experience, ask a medium behavioral question about Machine Learning. Include practical constraints and evaluation points. Question id 125.",behavioral,Machine Learning
Q_00126,Data Scientist,mid_level_expert,3.1,technical,DBMS,medium,"For a Data Scientist with mid_level_expert experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 126.",scenario,DBMS
Q_00127,Data Scientist,mid_level_expert,4.2,technical,Machine Learning,hard,"For a Data Scientist with mid_level_expert experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 127.",architecture,Machine Learning
Q_00128,Data Scientist,mid_level_expert,5.8,technical,Machine Learning,hard,"For a Data Scientist with mid_level_expert experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 128.",architecture,Machine Learning
Q_00129,Data Scientist,mid_level_expert,5.4,technical,Machine Learning,hard,"For a Data Scientist with mid_level_expert experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 129.",architecture,Machine Learning
Q_00130,Data Scientist,mid_level_expert,3.3,technical,Artificial Intelligence,hard,"For a Data Scientist with mid_level_expert experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 130.",architecture,Artificial Intelligence
Q_00131,Data Scientist,mid_level_expert,3.4,technical,DBMS,hard,"For a Data Scientist with mid_level_expert experience, ask a hard conceptual question about DBMS. Include practical constraints and evaluation points. Question id 131.",conceptual,DBMS
Q_00132,Data Scientist,mid_level_expert,3.1,technical,Machine Learning,hard,"For a Data Scientist with mid_level_expert experience, ask a hard conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 132.",conceptual,Machine Learning
Q_00133,Data Scientist,mid_level_expert,3.0,technical,Machine Learning,hard,"For a Data Scientist with mid_level_expert experience, ask a hard behavioral question about Machine Learning. Include practical constraints and evaluation points. Question id 133.",behavioral,Machine Learning
Q_00134,Data Scientist,mid_level_expert,5.1,technical,DBMS,hard,"For a Data Scientist with mid_level_expert experience, ask a hard architecture question about DBMS. Include practical constraints and evaluation points. Question id 134.",architecture,DBMS
Q_00135,Data Scientist,mid_level_expert,3.1,technical,Machine Learning,hard,"For a Data Scientist with mid_level_expert experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 135.",architecture,Machine Learning
Q_00136,Data Scientist,mid_level_expert,4.2,personality,Attention to detail,easy,"For a Data Scientist, ask a easy behavioral personality question about Attention to detail. The answer should show examples, ownership, and reflection. Question id 136.",behavioral,Communication
Q_00137,Data Scientist,mid_level_expert,4.3,personality,Openness to learning,easy,"For a Data Scientist, ask a easy behavioral personality question about Openness to learning. The answer should show examples, ownership, and reflection. Question id 137.",behavioral,Communication
Q_00138,Data Scientist,mid_level_expert,5.8,personality,Collaboration,easy,"For a Data Scientist, ask a easy behavioral personality question about Collaboration. The answer should show examples, ownership, and reflection. Question id 138.",behavioral,Communication
