id,skill_area,experience_band,question,answer_text,word_count,keyword_hits,clarity_score,relevance_score,correctness_score,target_score,target_label
11,Networking,senior_professional,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include firewall, throughput, latency, packet loss. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",44,4,85,78,74,72,pass
12,Artificial Intelligence,fresher,"How would you handle a Artificial Intelligence problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include vector search, latency, prompt engineering. I would communicate the risk clearly.",25,3,44,53,56,54,fail
13,DBMS,industry_veteran,"How would you handle a DBMS problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would keep the implementation simple where possible.,25,1,24,0,25,18,fail
14,MERN Stack,mid_level_expert,"How would you handle a MERN Stack problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include jwt, mongo, express, routing, node. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",71,5,76,92,98,94,pass
15,React,junior_professional,"How would you handle a React problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include accessibility, component, context. I would keep the implementation simple where possible.",28,3,43,49,58,56,fail
16,DBMS,fresher,"How would you handle a DBMS problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include normalization, locking, transactions. I would keep the implementation simple where possible.",27,3,44,47,34,26,fail
17,Operating Systems,senior_professional,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include filesystem, thread, process, deadlock. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",42,4,88,96,77,90,pass
18,Networking,industry_veteran,"How would you handle a Networking problem for a university career platform? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include tls, latency, firewall. I would validate this with tests.",26,3,67,54,67,75,pass
19,React,fresher,"How would you handle a React problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include context, accessibility, rendering, hooks. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",31,4,74,95,38,67,fail
20,Networking,senior_professional,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include latency, firewall, tls, routing, packet loss. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",70,5,93,88,93,71,pass
21,Networking,mid_level_expert,"How would you handle a Networking problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include packet loss, tls, latency. I would keep the implementation simple where possible.",26,3,57,64,80,57,fail
22,Software Engineering,senior_professional,"How would you handle a Software Engineering problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include architecture, scalability, maintainability, requirements. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",45,4,70,73,93,79,pass
23,React,mid_level_expert,"How would you handle a React problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include rendering, props, memoization, hooks, accessibility. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",60,5,78,91,86,90,pass
24,DevOps,industry_veteran,"How would you handle a DevOps problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include docker, rollback, alerts, monitoring. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",42,4,68,72,71,57,fail
25,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include state management, api integration, react, routing, jwt. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",70,5,87,87,83,83,pass
26,Operating Systems,junior_professional,"How would you handle a Operating Systems problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include scheduling, process, deadlock, paging, thread. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",63,5,81,93,93,76,pass
27,Artificial Intelligence,junior_professional,"How would you handle a Artificial Intelligence problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include vector search, latency, guardrails, reasoning, retrieval. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",64,5,83,91,100,86,pass
28,Machine Learning,junior_professional,"How would you handle a Machine Learning problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include validation, bias, serving. ",18,3,62,58,32,45,fail
29,Operating Systems,senior_professional,"How would you handle a Operating Systems problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include filesystem, deadlock, memory management, process, mutex. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",59,5,99,100,95,96,pass
30,DBMS,industry_veteran,"How would you handle a DBMS problem during a production incident? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include query plan, locking, normalization. ",24,3,63,48,79,68,fail
31,DBMS,mid_level_expert,"How would you handle a DBMS problem during a production incident? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include transactions, joins, locking, backup. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",49,4,79,57,89,58,fail
32,DSA,industry_veteran,"How would you handle a DSA problem during a production incident? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include heap, hash map, bfs. I would validate this with tests.",25,3,54,76,33,49,fail
33,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include debugging, architecture, scalability, code review. I would validate this with tests.",33,4,65,58,43,55,fail
34,Artificial Intelligence,junior_professional,"How would you handle a Artificial Intelligence problem during a production incident? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include hallucination, reasoning, retrieval. I would keep the implementation simple where possible.",26,3,33,52,33,52,fail
35,Operating Systems,junior_professional,"How would you handle a Operating Systems problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include memory management, deadlock, mutex, filesystem. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",43,4,57,62,78,51,fail
36,React,senior_professional,"How would you handle a React problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include rendering, context, hooks, component. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",42,4,77,92,52,72,fail
37,Django,junior_professional,"How would you handle a Django problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include caching, celery, queryset, orm. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",34,4,71,78,51,49,fail
38,React,junior_professional,"How would you handle a React problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include hooks, rendering, state, component, memoization. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",52,5,88,85,85,83,pass
39,Artificial Intelligence,industry_veteran,"How would you handle a Artificial Intelligence problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include vector search, guardrails, evaluation, retrieval, prompt engineering. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",54,5,73,85,86,75,pass
40,React,fresher,"How would you handle a React problem for a university career platform? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include props, accessibility, context, hooks, component. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",62,5,100,99,76,87,pass
41,OOP,mid_level_expert,"How would you handle a OOP problem during a production incident? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include inheritance, polymorphism, interface, composition. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",51,4,62,84,90,67,fail
42,OOP,junior_professional,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include encapsulation, interface, design pattern, composition. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",50,4,86,80,86,93,pass
43,DevOps,junior_professional,"How would you handle a DevOps problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include blue green deployment, docker, ci/cd. ",26,3,56,49,46,39,fail
44,Networking,senior_professional,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include routing, firewall, tcp, dns, latency. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",74,5,93,98,98,100,pass
45,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include jwt, routing, mongo. I would keep the implementation simple where possible.",35,3,63,82,59,90,pass
46,DevOps,senior_professional,"How would you handle a DevOps problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include terraform, alerts, monitoring. I would keep the implementation simple where possible.",26,3,66,48,44,56,fail
47,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include code review, scalability, requirements, testing, maintainability. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",43,5,79,91,88,81,pass
48,Artificial Intelligence,mid_level_expert,"How would you handle a Artificial Intelligence problem during a production incident? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include hallucination, retrieval, reasoning, guardrails, prompt engineering. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",69,5,72,63,76,79,pass
49,Django,junior_professional,"How would you handle a Django problem during a production incident? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include caching, queryset, rest api, celery. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",53,4,70,52,70,64,fail
50,DevOps,industry_veteran,"How would you handle a DevOps problem for a university career platform? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would keep the implementation simple where possible.",21,2,27,39,38,27,fail
51,OOP,junior_professional,"How would you handle a OOP problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include polymorphism, encapsulation, interface, abstraction, composition. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. ",62,5,87,90,98,94,pass
52,React,junior_professional,"How would you handle a React problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include rendering, state, accessibility. I would validate this with tests.",28,3,32,37,56,45,fail
53,Operating Systems,mid_level_expert,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include filesystem, scheduling, process, mutex. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",42,4,86,100,88,93,pass
54,Networking,junior_professional,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include tcp, tls, latency, firewall, dns. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",59,5,97,94,81,90,pass
55,OOP,fresher,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include composition, design pattern, abstraction, encapsulation, interface. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",64,5,80,86,82,76,pass
56,Networking,senior_professional,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include packet loss, firewall, latency. I would validate this with tests.",31,3,90,38,71,48,fail
57,DevOps,senior_professional,"How would you handle a DevOps problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include monitoring, terraform, alerts. ",25,3,42,62,49,41,fail
58,React,senior_professional,"How would you handle a React problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include memoization, hooks, context, rendering. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",50,4,59,77,58,67,fail
59,OOP,industry_veteran,"How would you handle a OOP problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include encapsulation, inheritance, abstraction, polymorphism. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",40,4,79,70,100,86,pass
60,MERN Stack,fresher,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would validate this with tests.,27,2,10,37,25,30,fail
61,Networking,mid_level_expert,"How would you handle a Networking problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include firewall, routing, dns, tcp, tls. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",62,5,84,92,100,95,pass
62,Django,mid_level_expert,"How would you handle a Django problem for a university career platform? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include rest api, queryset, authentication, middleware. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",40,4,57,67,65,56,fail
63,Networking,mid_level_expert,"How would you handle a Networking problem in a mobile app backend? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include firewall, dns, tcp. I would validate this with tests.",30,3,70,54,31,57,fail
64,Django,junior_professional,"How would you handle a Django problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include orm, rest api, queryset, authentication. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",43,4,95,83,48,63,fail
65,Machine Learning,fresher,"How would you handle a Machine Learning problem for a high traffic web app? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would keep the implementation simple where possible.,19,2,59,34,50,45,fail
66,Networking,fresher,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include tcp, packet loss, firewall, tls, throughput. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",66,5,77,88,43,55,fail
67,Software Engineering,junior_professional,"How would you handle a Software Engineering problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include code review, maintainability, trade-offs. I would validate this with tests.",32,3,54,41,80,41,fail
68,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include architecture, debugging, testing, maintainability. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",44,4,67,74,93,64,fail
69,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include trade-offs, scalability, code review, debugging. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",50,4,93,79,65,80,pass
70,OOP,fresher,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include solid, composition, design pattern. ",20,3,59,49,57,43,fail
71,DBMS,fresher,"How would you handle a DBMS problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include query plan, locking, transactions, schema design. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",52,4,68,75,88,57,fail
72,Software Engineering,fresher,"How would you handle a Software Engineering problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include testing, requirements, maintainability, trade-offs, code review. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",60,5,100,57,80,77,pass
73,DevOps,senior_professional,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include terraform, alerts, blue green deployment. I would validate this with tests.",35,3,61,49,54,50,fail
74,Networking,industry_veteran,"How would you handle a Networking problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include dns, firewall, packet loss, tls. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",53,4,64,82,76,67,fail
75,Django,industry_veteran,"How would you handle a Django problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include rest api, orm, middleware, celery, queryset. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",62,5,98,91,98,98,pass
76,MERN Stack,senior_professional,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include api integration, mongo, node, express, react. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",63,5,80,82,100,91,pass
77,MERN Stack,senior_professional,"How would you handle a MERN Stack problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include mongo, state management, api integration, node. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",51,4,76,77,94,74,pass
78,Artificial Intelligence,industry_veteran,"How would you handle a Artificial Intelligence problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include latency, evaluation, guardrails. I would communicate the risk clearly.",27,3,67,58,58,69,pass
79,DBMS,fresher,"How would you handle a DBMS problem during a production incident? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include joins, schema design, locking, transactions. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",42,4,77,78,85,70,pass
80,React,mid_level_expert,"How would you handle a React problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include accessibility, memoization, rendering. I would communicate the risk clearly.",28,3,63,50,59,53,fail
81,Networking,mid_level_expert,"How would you handle a Networking problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include dns, routing, tls, throughput. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",50,4,80,86,67,91,pass
82,Machine Learning,senior_professional,"How would you handle a Machine Learning problem for a university career platform? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include serving, cross validation, overfitting. I would communicate the risk clearly.",25,3,36,33,65,54,fail
83,DBMS,mid_level_expert,"How would you handle a DBMS problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include transactions, locking, indexing. I would communicate the risk clearly.",32,3,65,66,57,50,fail
84,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include mongo, routing, state management, react. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",37,4,73,64,86,72,pass
85,Networking,fresher,"How would you handle a Networking problem for a university career platform? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include routing, dns, throughput. I would validate this with tests.",31,3,41,47,57,38,fail
86,DSA,senior_professional,"How would you handle a DSA problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include dfs, complexity, graphs. I would keep the implementation simple where possible.",26,3,47,60,60,50,fail
87,Machine Learning,fresher,"How would you handle a Machine Learning problem during a payment workflow? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. ",10,1,14,23,0,0,fail
88,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include requirements, debugging, scalability, code review. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",50,4,66,72,79,83,pass
89,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include react, api integration, routing, jwt. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",44,4,82,70,72,64,fail
