question_id,question,topic,subtopic,difficulty,role,option_a,option_b,option_c,option_d,correct_answer,explanation,expected_time,experience_level
DSA030,"Quick Sort picks arr[0]=3 as pivot on arr=[3,6,8,10,1,2,1]. After one partition pass (Lomuto scheme), which of the following correctly shows pivot in its final sorted position?",DSA,Sorting Algorithms,medium,all,"[1, 2, 1, 3, 6, 8, 10]","[1, 1, 2, 3, 6, 8, 10]","[2, 1, 1, 3, 8, 6, 10]","[3, 1, 2, 1, 6, 8, 10]",a,"Lomuto partition with pivot=3: elements ≤3 are [1,2,1], elements >3 are [6,8,10]. Pivot is placed between them at index 3 → [1,2,1,3,6,8,10]. Sub-arrays are not yet fully sorted.",45,2-3
DSA031,"Two sorted linked lists: L1: 1→3→5, L2: 2→4→6. After merging them (sorted merge), what is the sequence?",DSA,Linked List,medium,all,1→2→3→4→5→6,1→3→5→2→4→6,2→1→4→3→6→5,1→2→4→3→5→6,a,Compare heads at each step: 1<2→take 1; 3>2→take 2; 3<4→take 3; 5>4→take 4; 5<6→take 5; append 6 → 1→2→3→4→5→6.,38,2-3
DSA032,"Binary search is used to find the first occurrence of 4 in arr = [1, 2, 4, 4, 4, 5, 6]. How does it differ from standard binary search?",DSA,Binary Search,medium,all,It returns -1 when a duplicate is found,"When arr[mid]==target, it records mid and continues searching LEFT (hi = mid-1)","When arr[mid]==target, it continues searching RIGHT (lo = mid+1)",It uses linear scan after finding any occurrence,b,"To find the FIRST occurrence, when arr[mid]==target we save the index as a candidate and keep narrowing left (hi = mid-1) to see if an earlier occurrence exists.",38,2-3
DSA033,What is the height (number of edges on the longest path from root to leaf) of a complete binary tree with 15 nodes?,DSA,Trees,medium,all,2,3,4,5,b,A complete binary tree with n nodes has height ⌊log₂ n⌋. ⌊log₂ 15⌋ = ⌊3.9⌋ = 3.,35,2-3
DSA034,"Counting Sort is applied to arr = [4,2,2,8,3,3,1]. What is the count array for index range 0–8 after building it?",DSA,Sorting Algorithms,medium,all,"[0,1,2,2,1,0,0,0,1]","[0,1,2,3,4,0,0,0,8]","[1,1,2,2,0,0,0,0,1]","[0,0,1,2,2,3,0,0,1]",a,"Count each value: 1→1, 2→2, 3→2, 4→1, 8→1. Count array (indices 0-8): [0,1,2,2,1,0,0,0,1].",42,2-3
DSA035,A dictionary in Python has 1 million entries. What is the average-case time to check if a key exists (using 'key in d')?,DSA,Hashing,medium,all,O(n),O(log n),O(1),O(n log n),c,"Python dicts use hash tables. Key lookup computes hash, indexes the bucket, and compares — O(1) average regardless of n, assuming low collision rate.",30,2-3
DSA036,"What will the following code print?

def rec(n, acc=0):
    if n == 0: return acc
    return rec(n-1, acc+n)

print(rec(5))",DSA,Recursion,medium,all,10,15,5,120,b,"This is tail-recursive sum. rec(5,0)→rec(4,5)→rec(3,9)→rec(2,12)→rec(1,14)→rec(0,15)→returns 15. It computes 5+4+3+2+1=15.",40,2-3
DSA037,Which of the following correctly identifies the worst-case time complexity of Quick Sort and the scenario that triggers it?,DSA,Sorting Algorithms,medium,all,O(n log n) — when pivot is always the median,O(n²) — when pivot is always the smallest or largest element (sorted input),O(n²) — when pivot is always the median,O(n log n) — when input is already sorted,b,Quick Sort degrades to O(n²) when every partition creates one sub-array of size n-1 and one of size 0 — happens with always-min/max pivot on sorted input.,35,2-3
DSA038,"Given a binary search tree, deleting a node with TWO children replaces it with which node?",DSA,Trees,medium,all,The root of the right subtree,The in-order successor (leftmost node of right subtree) or in-order predecessor,The right child of the deleted node,The parent of the deleted node,b,"When deleting a two-child node, we replace its value with the in-order successor (smallest in right subtree) or in-order predecessor, then delete that successor/predecessor (which has at most one child).",38,2-3
DSA039,"What is the output of the following binary search on a rotated sorted array?

arr = [4, 5, 6, 7, 0, 1, 2], target = 0
Iteration 1: mid=3, arr[3]=7. arr[0]=4 ≤ arr[3]=7 → left half sorted.
target 0 NOT in [4..7] → lo = mid+1 = 4
Iteration 2: mid=5, arr[5]=1 > 0 → hi=4
Iteration 3: mid=4, arr[4]=0 == target → return 4",DSA,Binary Search,medium,all,-1,0,4,5,c,"The algorithm identifies which half is sorted and determines if the target lies within it. After 3 iterations, target=0 is found at index 4.",45,2-3
DSA040,"A hash table uses open addressing with linear probing. If keys 12, 22, 32 all hash to index 2 (table size 10), at which index is 32 stored?",DSA,Hashing,medium,all,2,3,4,5,c,"12 → index 2 (empty, insert). 22 → index 2 (occupied), probe 3 (empty, insert). 32 → index 2 (occupied), probe 3 (occupied), probe 4 (empty, insert). 32 at index 4.",42,2-3
DSA041,"Run Dijkstra's algorithm on this graph from source A:
A→B(4), A→C(1), C→B(2), B→D(1), C→D(5)
What is the shortest distance from A to D?",DSA,Graphs,hard,all,5,6,4,7,c,"Init: dist={A:0,B:∞,C:∞,D:∞}. Process A: C=1, B=4. Process C (cost 1): B=min(4,1+2)=3, D=min(∞,1+5)=6. Process B (cost 3): D=min(6,3+1)=4. Final dist[D]=4.",65,3+
DSA042,"0/1 Knapsack: capacity=5, items=[(weight=2,value=6),(weight=3,value=10),(weight=4,value=12),(weight=1,value=3)].
What is the maximum value achievable without exceeding capacity?",DSA,Dynamic Programming,hard,all,13,16,15,12,b,"Build the DP table (4 items × capacity 0-5). Key combinations: item1(w=2,v=6)+item2(w=3,v=10)=total w=5,v=16. item3(w=4,v=12)+item4(w=1,v=3)=w=5,v=15. item2(w=3,v=10)+item4(w=1,v=3)=w=4,v=13. Maximum is 16 — achieved by taking item1 and item2. dp[4][5] = 16.",70,3+
DSA043,"What is the output of BFS starting from vertex 0?
Graph (adjacency list): 0:[1,2], 1:[0,3,4], 2:[0,5], 3:[1], 4:[1], 5:[2]
Visited order (queue-based BFS)?",DSA,Graphs,hard,all,0 1 2 3 4 5,0 2 1 5 4 3,0 1 3 4 2 5,0 2 5 1 3 4,a,"BFS queue: [0]. Visit 0→enqueue 1,2. Queue:[1,2]. Visit 1→enqueue 3,4. Queue:[2,3,4]. Visit 2→enqueue 5. Queue:[3,4,5]. Visit 3, 4, 5 in order. Result: 0,1,2,3,4,5.",60,3+
DSA044,"In the Longest Common Subsequence (LCS) of 'ABCBDAB' and 'BDCAB', what is the length of the LCS?",DSA,Dynamic Programming,hard,all,3,4,5,6,b,LCS of 'ABCBDAB' and 'BDCAB' = 'BCAB' or 'BDAB' (length 4). The DP table fills to dp[7][5] = 4.,65,3+
DSA045,"A Min-Heap contains [1, 3, 6, 5, 9, 8]. After calling insert(2), what does the heap look like after bubbling up?",DSA,Heap,hard,all,"[1, 2, 6, 3, 9, 8, 5]","[1, 3, 2, 5, 9, 8, 6]","[1, 2, 6, 5, 9, 8, 3]","[2, 3, 1, 5, 9, 8, 6]",b,"Insert 2 at end (index 6): [1,3,6,5,9,8,2]. Parent of index 6 is (6-1)//2=2 → value 6. 2 < 6 → swap: [1,3,2,5,9,8,6]. Parent of index 2 is (2-1)//2=0 → value 1. 2 > 1 → stop. Final: [1,3,2,5,9,8,6].",65,3+
DSA046,"N-Queens backtracking for N=4: After placing queens at (row0,col1) and (row1,col3), can a queen be placed in row 2? If not, what does backtracking do?",DSA,Backtracking,hard,all,"Places queen at (row2, col0) — col0 is safe",No valid column exists in row 2; backtracks and tries next column for row 1,Backtracks all the way to row 0 and restarts from col 0,"Places queen at (row2, col2) — diagonal check passes",a,"With queens at (0,1) and (1,3), check row 2: Col0: no row conflict, no col conflict. Diagonal with (0,1): |row diff|=2 ≠ |col diff|=1 → safe. Diagonal with (1,3): |row diff|=1 ≠ |col diff|=3 → safe. Col0 IS valid. Queen placed at (row2,col0). This continues the path to the 4-queens solution [1,3,0,2] (0-indexed columns).",70,3+
DSA047,What is the amortized time complexity of a dynamic array (like Python list) append() operation that doubles capacity when full?,DSA,Advanced Complexity,hard,all,O(n) per operation,O(log n) amortized,O(1) amortized,O(n log n) total for n appends,c,"Using the aggregate method: n appends cost O(1) each normally plus O(n) for copies at sizes 1,2,4,8,... The geometric series 1+2+4+...+n < 2n → total work O(n) for n appends → O(1) amortized per append.",60,3+
DSA048,"Greedy Activity Selection: Activities (start, end): (1,4),(3,5),(0,6),(5,7),(8,9),(5,9),(6,10),(8,11),(2,13),(12,14).
Sorted by end time. What is the MAXIMUM number of non-overlapping activities?",DSA,Greedy,hard,all,3,4,5,6,b,"Sort by end: (1,4),(3,5),(0,6),(5,7),(8,9),(5,9),(6,10),(8,11),(2,13),(12,14). Select (1,4). Next compatible: (3,5) starts at 3<4 skip. (0,6) 0<4 skip. (5,7) starts 5≥4 → select. Next: (8,9) 8≥7 → select. Next: (12,14) 12≥9 → select. Total = 4 activities: (1,4),(5,7),(8,9),(12,14).",68,3+
DSA049,"What is the time complexity of building a Heap from an unsorted array of n elements using the heapify-down (Floyd's) approach, and why is it NOT O(n log n)?",DSA,Heap,hard,all,O(n log n) because every element is heapified,O(n) because most nodes are near the bottom and require fewer swaps — the sum of heights converges to n,O(log n) because only the root requires full heapification,O(n√n) due to partial heapification,b,"For n/2 leaves: height 0, 0 swaps. n/4 nodes: height 1, 1 swap. ∑ (n/2^h * h) for h=0 to log n = O(n) by geometric series identity. This is the tight bound — heapification starting from n//2 down to 0 is O(n).",65,3+
DSA050,"Coin Change DP: coins=[1,3,4], amount=6.
Trace the DP array and find the MINIMUM number of coins needed.
dp[0]=0, dp[1]=?, dp[2]=?, dp[3]=?, dp[4]=?, dp[5]=?, dp[6]=?",DSA,Dynamic Programming,hard,all,dp[6] = 3 (using coins 1+1+4 or 3+3),dp[6] = 2 (using coins 3+3),dp[6] = 4 (using four 1-coins and nothing else),dp[6] = 3 (using coins 1+1+4),b,"dp[0]=0. dp[1]=dp[0]+1=1. dp[2]=dp[1]+1=2. dp[3]=min(dp[2]+1,dp[0]+1)=1. dp[4]=min(dp[3]+1,dp[1]+1,dp[0]+1)=1. dp[5]=min(dp[4]+1,dp[2]+1,dp[1]+1)=2. dp[6]=min(dp[5]+1,dp[3]+1,dp[2]+1)=min(3,2,3)=2. Answer: 3+3=2 coins.",70,3+
OOP001,"What will be the output?

class Animal:
    sound = 'generic'
    def speak(self):
        print(self.sound)

a = Animal()
a.sound = 'woof'
b = Animal()
b.speak()",OOP,Classes and Objects,easy,all,woof,generic,Error,,b,"'a.sound = woof' creates an instance attribute only on object 'a'. Object 'b' never got that assignment, so 'b.speak()' still reads the class attribute 'generic'.",30,0-1
OOP002,"What will be printed?

class Counter:
    count = 0
    def __init__(self):
        Counter.count += 1

a = Counter()
b = Counter()
c = Counter()
print(a.count)",OOP,Classes and Objects,easy,all,1,0,3,Error,c,"'count' is a class variable shared by all instances. Each __init__ increments it via 'Counter.count += 1'. After 3 objects, count = 3. Accessing 'a.count' reads the class variable = 3.",30,0-1
OOP003,"What will this print?

class Dog:
    def __init__(self, name):
        self.name = name
    def __str__(self):
        return self.name

d = Dog('Rex')
print(d)",OOP,Classes and Objects,easy,all,<__main__.Dog object>,Rex,Dog,Error,b,"When print() is called on an object, Python invokes __str__. Here __str__ returns self.name which is 'Rex'.",25,0-1
OOP004,"Which concept does this violate?

class BankAccount:
    def __init__(self):
        self.balance = 0   # public attribute

acc = BankAccount()
acc.balance = -5000  # direct assignment",OOP,Encapsulation,easy,all,Inheritance,Polymorphism,Encapsulation,Abstraction,c,"Encapsulation protects internal state. Making 'balance' public allows any external code to set invalid values (-5000), bypassing validation logic.",25,0-1
OOP005,"What does Python name-mangling do to '__secret'?

class Vault:
    def __init__(self):
        self.__secret = 42

v = Vault()
print(v.__secret)",OOP,Access Modifiers,easy,all,Prints 42,Prints None,Raises AttributeError,Prints _Vault__secret,c,Python mangles '__secret' to '_Vault__secret'. Accessing 'v.__secret' raises AttributeError because that exact name doesn't exist on the instance.,30,0-1
OOP006,"What is the output?

class Parent:
    def greet(self):
        return 'Hello from Parent'

class Child(Parent):
    pass

c = Child()
print(c.greet())",OOP,Inheritance,easy,all,Hello from Child,Hello from Parent,AttributeError,,b,"Child inherits greet() from Parent without overriding it. Python's MRO finds greet() in Parent and executes it, returning 'Hello from Parent'.",20,0-1
OOP007,"What will this print?

class A:
    def __init__(self):
        print('A init')

class B(A):
    def __init__(self):
        print('B init')

b = B()",OOP,Constructors,easy,all,"A init
B init","B init
A init",B init,A init,c,B defines its own __init__ and does NOT call super().__init__(). So only 'B init' prints. A's __init__ is never called.,30,0-1
OOP008,"Is this method overloading or overriding?

class Shape:
    def area(self):
        return 0

class Circle(Shape):
    def area(self):
        return 3.14 * 5 * 5",OOP,Method Overloading vs Overriding,easy,all,Method Overloading,Method Overriding,Both,Neither — it's shadowing,b,"Circle redefines area() which already exists in the parent class Shape. Same method name, same signature, in a subclass — this is Method Overriding.",25,0-1
OOP009,"What will this print?

class Box:
    def __init__(self, val):
        self.val = val

b1 = Box(10)
b2 = b1
b2.val = 99
print(b1.val)",OOP,Object Lifecycle,easy,all,10,99,Error,,b,'b2 = b1' does not copy the object — both variables reference the same object in memory. Changing b2.val to 99 also changes b1.val to 99.,30,0-1
OOP010,"What is the correct way to call the parent constructor in Python?

class Vehicle:
    def __init__(self, speed):
        self.speed = speed

class Car(Vehicle):
    def __init__(self, speed, brand):
        ???
        self.brand = brand",OOP,Constructors,easy,all,Vehicle.__init__(speed),super().__init__(speed),parent.__init__(speed),self.__init__(speed),b,super().__init__(speed) is the Pythonic way to call the parent's __init__ inside a subclass. It correctly passes 'speed' to Vehicle's constructor.,25,0-1
OOP011,"What will this output?

class Foo:
    x = 5

f = Foo()
Foo.x = 10
print(f.x)",OOP,Classes and Objects,easy,all,5,10,Error,,b,"'f' has no instance attribute 'x', so it looks up the class attribute. After 'Foo.x = 10', the class attribute is 10, so f.x returns 10.",30,0-1
OOP012,Which of these correctly describes abstraction in OOP?,OOP,Abstraction,easy,all,Hiding method implementation details from the subclass,Exposing only the necessary interface while hiding internal complexity,Making all class attributes private,Creating objects from abstract classes,b,Abstraction means exposing a clean interface (what an object does) while hiding the internal complexity (how it does it).,25,0-1
OOP013,"What will this print?

class A:
    def show(self):
        print('A')

class B(A):
    def show(self):
        print('B')

obj = A()
obj.show()",OOP,Polymorphism,easy,all,A,B,AB,Error,a,"obj is created as an instance of A, not B. So obj.show() calls A's version of show(), printing 'A'. B's override is irrelevant here.",20,0-1
OOP014,"What will be the output?

class Person:
    def __init__(self, name):
        self.name = name

p = Person('Alice')
del p.name
print(p.name)",OOP,Object Lifecycle,easy,all,,Alice,AttributeError,'',c,'del p.name' removes the instance attribute. Accessing p.name afterward raises AttributeError because there's no class-level fallback either.,30,0-1
OOP015,"What is the key difference between an Abstract Class and an Interface?

# In context of Python / general OOP",OOP,Interfaces vs Abstract Classes,easy,all,Abstract classes can have implemented methods; interfaces cannot (in most classical OOP),Interfaces can have state; abstract classes cannot,Abstract classes cannot be inherited; interfaces can,There is no difference,a,"In classical OOP (Java/C#), an abstract class can contain both abstract and concrete methods, while an interface only declares method signatures. Python ABCs similarly allow default implementations.",30,0-1
OOP016,"What will this print?

class Cat:
    legs = 4

c = Cat()
c.legs = 3
print(Cat.legs)
print(c.legs)",OOP,Encapsulation,easy,all,"3
3","4
4","4
3","3
4",c,"'c.legs = 3' creates an instance attribute on 'c', shadowing the class attribute. Cat.legs (class level) remains 4. c.legs (instance level) is 3.",30,0-1
OOP017,"What will happen when this code runs?

from abc import ABC, abstractmethod

class Shape(ABC):
    @abstractmethod
    def area(self):
        pass

s = Shape()",OOP,Abstraction,easy,all,s is created with area = None,TypeError: Can't instantiate abstract class,AttributeError,"Runs fine, s is a Shape object",b,Abstract classes with @abstractmethod cannot be instantiated directly. Python raises TypeError if you try to create an instance of Shape without implementing area().,25,0-1
OOP018,"What is the output?

class Vehicle:
    def __init__(self):
        self.type = 'vehicle'

class Car(Vehicle):
    def __init__(self):
        super().__init__()
        self.type = 'car'

c = Car()
print(c.type)",OOP,Constructors,easy,all,vehicle,car,Error,"vehicle
car",b,"super().__init__() sets self.type = 'vehicle', then Car's __init__ immediately overwrites it with self.type = 'car'. Final value is 'car'.",30,0-1
OOP019,What access level does a single underscore prefix (_name) signify in Python?,OOP,Access Modifiers,easy,all,Strictly private — cannot be accessed outside class,A naming convention suggesting 'internal use' but not enforced,Protected — accessible only in subclasses,Static attribute,b,"In Python, a single underscore is a convention only. It signals 'internal use' but Python does NOT enforce access restriction — it can still be accessed externally.",25,0-1
OOP020,"What will this print?

class A:
    def __init__(self):
        self.x = 1

a = A()
b = A()
a.x = 5
print(b.x)",OOP,Classes and Objects,easy,all,5,1,Error,,b,"a and b are separate objects. 'a.x = 5' only changes a's instance attribute. 'b.x' is still 1, set during b's __init__.",20,0-1
OOP021,"Trace the output of this code:

class A:
    def __init__(self):
        print('A')

class B(A):
    def __init__(self):
        super().__init__()
        print('B')

class C(B):
    def __init__(self):
        super().__init__()
        print('C')

c = C()",OOP,Constructors,medium,all,"C
B
A","A
B
C","A
C
B","C
A
B",b,"C.__init__ calls super() → B.__init__, which calls super() → A.__init__ (prints 'A'). Then B prints 'B', then C prints 'C'. Order: A → B → C.",40,2-3
OOP022,"What will be printed?

class Animal:
    def speak(self):
        return 'Animal sound'

class Dog(Animal):
    def speak(self):
        return 'Woof'

class Cat(Animal):
    def speak(self):
        return 'Meow'

animals = [Dog(), Cat(), Animal()]
for a in animals:
    print(a.speak())",OOP,Polymorphism,medium,all,"Animal sound
Animal sound
Animal sound","Woof
Meow
Animal sound","Woof
Meow
Woof",Error,b,"This is runtime polymorphism. Each object's actual type determines which speak() runs. Dog → 'Woof', Cat → 'Meow', Animal → 'Animal sound'.",35,2-3
OOP023,"What is the output?

class Base:
    def method(self):
        print('Base')
        self.extra()

    def extra(self):
        print('Base extra')

class Derived(Base):
    def extra(self):
        print('Derived extra')

d = Derived()
d.method()",OOP,Method Overriding,medium,all,"Base
Base extra","Base
Derived extra",Derived extra,Error,b,"d.method() is inherited from Base and prints 'Base'. Inside method(), 'self.extra()' is called. Because 'self' is a Derived instance, Python resolves extra() to Derived's version: 'Derived extra'.",40,2-3
OOP024,"What will this output?

class Node:
    instances = []
    def __init__(self, val):
        self.val = val
        Node.instances.append(self)

a = Node(1)
b = Node(2)
print(len(Node.instances))
print(Node.instances[0].val)",OOP,Classes and Objects,medium,all,"1
1","2
1","2
2",Error,b,"Each instantiation appends 'self' to the class list 'instances'. After 2 objects, len = 2. instances[0] is the first Node (val=1).",35,2-3
